Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id,acquisition
2022-11-08 16:16:26.561,74,7388,2.0,30.0,4.0,1,28,-2,2216,-2,3,13,youtube20221108_165214
2022-11-08 16:16:26.562,74,7389,2.0,30.0,4.0,1,28,-2,712,-2,1,13,youtube20221108_165214
2022-11-08 16:16:26.577,74,7404,0.0,30.0,4.0,1,24,-2,1064,-2,2,13,youtube20221108_165214
2022-11-08 16:16:26.597,74,7424,0.0,30.0,4.0,1,24,-2,1064,-2,2,13,youtube20221108_165214
2022-11-08 16:16:26.605,74,7432,2.0,30.0,4.0,1,28,-2,712,-2,1,13,youtube20221108_165214
2022-11-08 16:16:26.647,74,7474,2.0,30.0,4.0,1,28,-2,3752,-2,5,13,youtube20221108_165214
2022-11-08 16:16:26.657,74,7484,0.0,30.0,4.0,1,5,-2,872,-2,10,13,youtube20221108_165214
2022-11-08 16:16:26.697,74,7524,0.0,30.0,4.0,1,24,-2,1064,-2,2,13,youtube20221108_165214
2022-11-08 16:16:26.705,74,7532,2.0,30.0,4.0,1,28,-2,712,-2,1,13,youtube20221108_165214
2022-11-08 16:16:26.729,74,7556,2.0,30.0,4.0,1,28,-2,2216,-2,3,13,youtube20221108_165214
2022-11-08 16:16:26.737,74,7564,0.0,30.0,4.0,1,5,-2,872,-2,10,13,youtube20221108_165214
2022-11-08 16:16:26.817,74,7644,0.0,30.0,4.0,1,24,-2,1064,-2,2,13,youtube20221108_165214
2022-11-08 16:16:26.825,74,7652,2.0,30.0,4.0,1,28,-2,712,-2,1,13,youtube20221108_165214
2022-11-08 16:16:27.166,74,7993,2.0,30.0,4.0,1,28,-2,2216,-2,3,13,youtube20221108_165214
2022-11-08 16:16:27.177,74,8004,0.0,30.0,4.0,1,24,-2,1064,-2,2,13,youtube20221108_165214
2022-11-08 16:16:27.185,74,8012,2.0,30.0,4.0,1,28,-2,712,-2,1,13,youtube20221108_165214
2022-11-08 16:16:27.217,74,8044,0.0,30.0,4.0,1,0,-2,872,-2,32,13,youtube20221108_165214
2022-11-08 16:16:27.227,74,8054,2.0,30.0,4.0,1,28,-2,3752,-2,5,13,youtube20221108_165214
2022-11-08 16:16:27.236,74,8063,2.0,30.0,4.0,1,28,-2,1480,-2,2,13,youtube20221108_165214
2022-11-08 16:16:27.246,74,8073,2.0,30.0,4.0,1,28,-2,712,-2,1,13,youtube20221108_165214
2022-11-08 16:16:27.257,74,8084,0.0,30.0,4.0,1,1,-2,872,-2,24,13,youtube20221108_165214
2022-11-08 16:16:27.265,74,8092,0.0,30.0,4.0,1,1,-2,424,-2,12,13,youtube20221108_165214
2022-11-08 16:16:27.277,74,8104,0.0,30.0,4.0,1,2,-2,872,-2,20,13,youtube20221108_165214
2022-11-08 16:16:27.285,74,8112,0.0,30.0,4.0,1,24,-2,520,-2,1,13,youtube20221108_165214
2022-11-08 16:16:27.286,74,8113,2.0,30.0,4.0,1,28,-2,2216,-2,3,13,youtube20221108_165214
2022-11-08 16:16:27.295,74,8122,2.0,30.0,4.0,1,28,-2,1480,-2,2,13,youtube20221108_165214
2022-11-08 16:16:27.303,74,8130,2.0,30.0,4.0,1,28,-2,1480,-2,2,13,youtube20221108_165214
2022-11-08 16:16:27.307,74,8134,2.0,30.0,4.0,1,28,-2,712,-2,1,13,youtube20221108_165214
2022-11-08 16:16:27.317,74,8144,0.0,30.0,4.0,1,24,-2,1064,-2,2,13,youtube20221108_165214
2022-11-08 16:16:27.325,74,8152,0.0,30.0,4.0,1,24,-2,1064,-2,2,13,youtube20221108_165214
2022-11-08 16:16:27.341,74,8168,0.0,30.0,4.0,1,24,-2,1064,-2,2,13,youtube20221108_165214
2022-11-08 16:16:27.366,74,8193,2.0,30.0,4.0,1,28,-2,712,-2,1,13,youtube20221108_165214
2022-11-08 16:16:27.373,74,8200,0.0,30.0,4.0,1,24,-2,1064,-2,2,13,youtube20221108_165214
2022-11-08 16:16:27.381,74,8208,0.0,30.0,4.0,1,5,-2,872,-2,10,13,youtube20221108_165214
2022-11-08 16:16:27.389,74,8216,0.0,30.0,4.0,1,23,-2,19848,-2,40,13,youtube20221108_165214
2022-11-08 16:16:27.390,74,8217,0.0,30.0,4.0,1,24,-2,520,-2,1,13,youtube20221108_165214
2022-11-08 16:16:27.417,74,8244,0.0,30.0,4.0,1,24,-2,1064,-2,2,13,youtube20221108_165214
2022-11-08 16:16:27.433,74,8260,0.0,30.0,4.0,1,31,-2,1064,-2,2,13,youtube20221108_165214
2022-11-08 16:16:27.435,74,8262,2.0,30.0,4.0,1,28,-2,712,-2,1,13,youtube20221108_165214
2022-11-08 16:16:27.457,74,8284,0.0,30.0,4.0,1,9,-2,936,-2,6,13,youtube20221108_165214
2022-11-08 16:16:27.465,74,8292,0.0,30.0,4.0,1,24,-2,5352,-2,10,13,youtube20221108_165214
2022-11-08 16:16:27.489,74,8316,2.0,30.0,4.0,1,28,-2,16992,-2,23,13,youtube20221108_165214
2022-11-08 16:16:27.492,74,8319,2.0,30.0,4.0,1,28,-2,1480,-2,2,13,youtube20221108_165214
2022-11-08 16:16:27.496,74,8323,2.0,30.0,4.0,1,28,-2,712,-2,1,13,youtube20221108_165214
