Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1665756118198,65535,245,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118273,65535,320,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118278,65535,325,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118283,65535,330,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118293,65535,340,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118298,65535,345,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118303,65535,350,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118318,65535,365,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118338,65535,385,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118358,65535,405,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118378,65535,425,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118398,65535,445,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118418,65535,465,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118433,65535,480,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118438,65535,485,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118443,65535,490,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118453,65535,500,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118458,65535,505,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118463,65535,510,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118478,65535,525,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118498,65535,545,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118518,65535,565,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118538,65535,585,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118558,65535,605,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118578,65535,625,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118593,65535,640,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118598,65535,645,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118603,65535,650,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118613,65535,660,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118618,65535,665,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118623,65535,670,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118638,65535,685,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118658,65535,705,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118678,65535,725,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118698,65535,745,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118718,65535,765,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118738,65535,785,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118753,65535,800,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118758,65535,805,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118763,65535,810,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118773,65535,820,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118778,65535,825,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118783,65535,830,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118798,65535,845,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118818,65535,865,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118838,65535,885,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118858,65535,905,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118878,65535,925,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118898,65535,945,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118913,65535,960,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118918,65535,965,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118923,65535,970,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118933,65535,980,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118938,65535,985,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118943,65535,990,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756118958,65535,1005,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118978,65535,1025,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756118998,65535,1045,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119018,65535,1065,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119038,65535,1085,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119058,65535,1105,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119073,65535,1120,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119078,65535,1125,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119083,65535,1130,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119093,65535,1140,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119098,65535,1145,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119103,65535,1150,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119118,65535,1165,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119138,65535,1185,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119158,65535,1205,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119178,65535,1225,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119198,65535,1245,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119218,65535,1265,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119233,65535,1280,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119238,65535,1285,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119243,65535,1290,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119253,65535,1300,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119258,65535,1305,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119263,65535,1310,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119278,65535,1325,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119298,65535,1345,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119318,65535,1365,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119338,65535,1385,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119358,65535,1405,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119378,65535,1425,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119393,65535,1440,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119398,65535,1445,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119403,65535,1450,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119413,65535,1460,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119418,65535,1465,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119423,65535,1470,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119438,65535,1485,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119458,65535,1505,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119478,65535,1525,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119498,65535,1545,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119518,65535,1565,2.0,0.0,0.0,1,2,-2,144,-2,4,3
