Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id,acquisition
2022-11-08 17:25:13.320,62,7424,0.0,6.0,5.0,1,22,-2,904,-2,2,4,youtube20221108_182416
2022-11-08 17:25:13.328,62,7432,0.0,6.0,5.0,1,24,-2,19080,-2,36,4,youtube20221108_182416
2022-11-08 17:25:13.336,62,7440,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:13.346,62,7450,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:13.360,62,7464,0.0,6.0,5.0,1,9,-2,936,-2,6,4,youtube20221108_182416
2022-11-08 17:25:13.375,62,7479,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:13.400,62,7504,0.0,6.0,5.0,1,16,-2,904,-2,3,4,youtube20221108_182416
2022-11-08 17:25:13.416,62,7520,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:13.430,62,7534,2.0,6.0,5.0,1,28,-2,2984,-2,4,4,youtube20221108_182416
2022-11-08 17:25:13.440,62,7544,0.0,6.0,5.0,1,23,-2,1000,-2,2,4,youtube20221108_182416
2022-11-08 17:25:13.460,62,7564,0.0,6.0,5.0,1,12,-2,1000,-2,5,4,youtube20221108_182416
2022-11-08 17:25:13.477,62,7581,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:13.510,62,7614,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:13.540,62,7644,0.0,6.0,5.0,1,24,-2,1064,-2,2,4,youtube20221108_182416
2022-11-08 17:25:15.640,62,9744,0.0,6.0,5.0,1,4,-2,840,-2,12,4,youtube20221108_182416
2022-11-08 17:25:15.648,62,9752,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:15.658,62,9762,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:15.680,62,9784,0.0,6.0,5.0,1,24,-2,1064,-2,2,4,youtube20221108_182416
2022-11-08 17:25:15.696,62,9800,0.0,6.0,5.0,1,31,-2,1064,-2,2,4,youtube20221108_182416
2022-11-08 17:25:15.709,62,9813,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:16.000,62,10104,0.0,6.0,5.0,1,7,-2,968,-2,8,4,youtube20221108_182416
2022-11-08 17:25:16.008,62,10112,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:16.018,62,10122,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:16.020,62,10124,0.0,6.0,5.0,1,18,-2,1064,-2,3,4,youtube20221108_182416
2022-11-08 17:25:16.036,62,10140,0.0,6.0,5.0,1,3,-2,872,-2,15,4,youtube20221108_182416
2022-11-08 17:25:16.044,62,10148,0.0,6.0,5.0,1,24,-2,1064,-2,2,4,youtube20221108_182416
2022-11-08 17:25:16.076,62,10180,0.0,6.0,5.0,1,4,-2,840,-2,12,4,youtube20221108_182416
2022-11-08 17:25:16.084,62,10188,0.0,6.0,5.0,1,5,-2,3496,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.085,62,10189,0.0,6.0,5.0,1,5,-2,3496,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.086,62,10190,0.0,6.0,5.0,1,5,-2,2216,-2,25,4,youtube20221108_182416
2022-11-08 17:25:16.094,62,10198,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:16.100,62,10204,0.0,6.0,5.0,1,7,-2,968,-2,8,4,youtube20221108_182416
2022-11-08 17:25:16.102,62,10206,2.0,6.0,5.0,1,28,-2,1480,-2,2,4,youtube20221108_182416
2022-11-08 17:25:16.104,62,10208,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:16.108,62,10212,2.0,6.0,5.0,1,28,-2,36696,-2,50,4,youtube20221108_182416
2022-11-08 17:25:16.109,62,10213,2.0,6.0,5.0,1,28,-2,6712,-2,9,4,youtube20221108_182416
2022-11-08 17:25:16.118,62,10222,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:16.120,62,10224,0.0,6.0,5.0,1,5,-2,872,-2,10,4,youtube20221108_182416
2022-11-08 17:25:16.128,62,10232,0.0,6.0,5.0,1,4,-2,2856,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.129,62,10233,0.0,6.0,5.0,1,4,-2,208,-2,3,4,youtube20221108_182416
2022-11-08 17:25:16.146,62,10,2.0,6.0,5.0,1,28,-2,7480,-2,10,4,youtube20221108_182416
2022-11-08 17:25:16.155,62,19,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:16.200,62,64,0.0,6.0,5.0,1,23,-2,1000,-2,2,4,youtube20221108_182416
2022-11-08 17:25:16.216,62,80,0.0,6.0,5.0,1,9,-2,936,-2,6,4,youtube20221108_182416
2022-11-08 17:25:16.224,62,88,0.0,6.0,5.0,1,24,-2,1064,-2,2,4,youtube20221108_182416
2022-11-08 17:25:16.232,62,96,0.0,6.0,5.0,1,23,-2,19848,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.233,62,97,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:16.233,62,97,0.0,6.0,5.0,1,24,-2,21384,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.234,62,98,0.0,6.0,5.0,1,24,-2,21384,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.235,62,99,0.0,6.0,5.0,1,24,-2,21384,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.236,62,100,2.0,6.0,5.0,1,28,-2,27376,-2,37,4,youtube20221108_182416
2022-11-08 17:25:16.251,62,115,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:16.257,62,121,2.0,6.0,5.0,1,28,-2,1480,-2,2,4,youtube20221108_182416
2022-11-08 17:25:16.259,62,123,2.0,6.0,5.0,1,28,-2,1480,-2,2,4,youtube20221108_182416
2022-11-08 17:25:16.260,62,124,0.0,6.0,5.0,1,3,-2,872,-2,15,4,youtube20221108_182416
2022-11-08 17:25:16.260,62,124,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:16.261,62,125,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:16.268,62,132,0.0,6.0,5.0,1,24,-2,21384,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.269,62,133,0.0,6.0,5.0,1,24,-2,16416,-2,30,4,youtube20221108_182416
2022-11-08 17:25:16.284,62,148,0.0,6.0,5.0,1,30,-2,16416,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.293,62,157,0.0,6.0,5.0,1,4,-2,840,-2,12,4,youtube20221108_182416
2022-11-08 17:25:16.301,62,165,0.0,6.0,5.0,1,24,-2,21384,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.302,62,166,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:16.302,62,166,0.0,6.0,5.0,1,23,-2,19848,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.303,62,167,0.0,6.0,5.0,1,24,-2,21384,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.303,62,167,2.0,6.0,5.0,1,28,-2,712,-2,1,4,youtube20221108_182416
2022-11-08 17:25:16.304,62,168,0.0,6.0,5.0,1,24,-2,21384,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.305,62,169,0.0,6.0,5.0,1,24,-2,21384,-2,40,4,youtube20221108_182416
2022-11-08 17:25:16.306,62,170,0.0,6.0,5.0,1,24,-2,19080,-2,36,4,youtube20221108_182416
2022-11-08 17:25:16.307,62,171,0.0,6.0,5.0,1,23,-2,19848,-2,40,4,youtube20221108_182416
