Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1665756440928,65535,5525,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441003,65535,5600,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756441008,65535,5605,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441013,65535,5610,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756441023,65535,5620,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756441028,65535,5625,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441033,65535,5630,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756441048,65535,5645,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441068,65535,5665,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441088,65535,5685,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441108,65535,5705,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441128,65535,5725,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441148,65535,5745,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441163,65535,5760,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756441168,65535,5765,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441173,65535,5770,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756441183,65535,5780,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756441188,65535,5785,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441193,65535,5790,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756441208,65535,5805,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441228,65535,5825,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441248,65535,5845,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441268,65535,5865,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441288,65535,5885,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441308,65535,5905,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756441323,65535,5920,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756441328,65535,5925,2.0,0.0,0.0,1,2,-2,144,-2,4,3
